,date,county,state,fips,cases,deaths
416,2020-03-01,New York City,New York,,1,0
448,2020-03-02,New York City,New York,,1,0
482,2020-03-03,New York City,New York,,2,0
518,2020-03-04,New York City,New York,,2,0
519,2020-03-04,Westchester,New York,36119.0,9,0
564,2020-03-05,Nassau,New York,36059.0,1,0
565,2020-03-05,New York City,New York,,4,0
566,2020-03-05,Westchester,New York,36119.0,17,0
626,2020-03-06,Nassau,New York,36059.0,4,0
627,2020-03-06,New York City,New York,,5,0
628,2020-03-06,Rockland,New York,36087.0,2,0
629,2020-03-06,Westchester,New York,36119.0,33,0
714,2020-03-07,Nassau,New York,36059.0,4,0
715,2020-03-07,New York City,New York,,12,0
716,2020-03-07,Rockland,New York,36087.0,2,0
717,2020-03-07,Saratoga,New York,36091.0,2,0
718,2020-03-07,Westchester,New York,36119.0,69,0
819,2020-03-08,Nassau,New York,36059.0,5,0
820,2020-03-08,New York City,New York,,14,0
821,2020-03-08,Rockland,New York,36087.0,2,0
822,2020-03-08,Saratoga,New York,36091.0,2,0
823,2020-03-08,Suffolk,New York,36103.0,1,0
824,2020-03-08,Ulster,New York,36111.0,1,0
825,2020-03-08,Westchester,New York,36119.0,81,0
946,2020-03-09,Nassau,New York,36059.0,17,0
947,2020-03-09,New York City,New York,,20,0
948,2020-03-09,Rockland,New York,36087.0,4,0
949,2020-03-09,Saratoga,New York,36091.0,2,0
950,2020-03-09,Suffolk,New York,36103.0,1,0
951,2020-03-09,Ulster,New York,36111.0,1,0
952,2020-03-09,Westchester,New York,36119.0,97,0
1097,2020-03-10,Nassau,New York,36059.0,19,0
1098,2020-03-10,New York City,New York,,37,0
1099,2020-03-10,Rockland,New York,36087.0,6,0
1100,2020-03-10,Saratoga,New York,36091.0,2,0
1101,2020-03-10,Suffolk,New York,36103.0,1,0
1102,2020-03-10,Ulster,New York,36111.0,1,0
1103,2020-03-10,Westchester,New York,36119.0,107,0
1283,2020-03-11,Monroe,New York,36055.0,1,0
1284,2020-03-11,Nassau,New York,36059.0,28,0
1285,2020-03-11,New York City,New York,,52,0
1286,2020-03-11,Rockland,New York,36087.0,6,0
1287,2020-03-11,Saratoga,New York,36091.0,2,0
1288,2020-03-11,Suffolk,New York,36103.0,6,0
1289,2020-03-11,Ulster,New York,36111.0,2,0
1290,2020-03-11,Westchester,New York,36119.0,120,0
1515,2020-03-12,Albany,New York,36001.0,2,0
1516,2020-03-12,Delaware,New York,36025.0,1,0
1517,2020-03-12,Dutchess,New York,36027.0,1,0
1518,2020-03-12,Herkimer,New York,36043.0,1,0
1519,2020-03-12,Monroe,New York,36055.0,1,0
1520,2020-03-12,Nassau,New York,36059.0,41,0
1521,2020-03-12,New York City,New York,,96,0
1522,2020-03-12,Orange,New York,36071.0,1,0
1523,2020-03-12,Rockland,New York,36087.0,7,0
1524,2020-03-12,Saratoga,New York,36091.0,3,0
1525,2020-03-12,Suffolk,New York,36103.0,21,0
1526,2020-03-12,Ulster,New York,36111.0,4,0
1527,2020-03-12,Westchester,New York,36119.0,147,0
1808,2020-03-13,Albany,New York,36001.0,2,0
1809,2020-03-13,Delaware,New York,36025.0,1,0
1810,2020-03-13,Dutchess,New York,36027.0,3,0
1811,2020-03-13,Herkimer,New York,36043.0,1,0
1812,2020-03-13,Monroe,New York,36055.0,1,0
1813,2020-03-13,Nassau,New York,36059.0,51,0
1814,2020-03-13,New York City,New York,,155,0
1815,2020-03-13,Orange,New York,36071.0,3,0
1816,2020-03-13,Rockland,New York,36087.0,9,0
1817,2020-03-13,Saratoga,New York,36091.0,3,0
1818,2020-03-13,Schenectady,New York,36093.0,1,0
1819,2020-03-13,Suffolk,New York,36103.0,29,0
1820,2020-03-13,Ulster,New York,36111.0,5,0
1821,2020-03-13,Westchester,New York,36119.0,157,0
2156,2020-03-14,Albany,New York,36001.0,5,0
2157,2020-03-14,Broome,New York,36007.0,1,0
2158,2020-03-14,Delaware,New York,36025.0,1,0
2159,2020-03-14,Dutchess,New York,36027.0,4,0
2160,2020-03-14,Herkimer,New York,36043.0,1,0
2161,2020-03-14,Monroe,New York,36055.0,2,0
2162,2020-03-14,Nassau,New York,36059.0,79,0
2163,2020-03-14,New York City,New York,,269,1
2164,2020-03-14,Orange,New York,36071.0,6,0
2165,2020-03-14,Rockland,New York,36087.0,12,1
2166,2020-03-14,Saratoga,New York,36091.0,3,0
2167,2020-03-14,Schenectady,New York,36093.0,1,0
2168,2020-03-14,Suffolk,New York,36103.0,41,0
2169,2020-03-14,Tioga,New York,36107.0,1,0
2170,2020-03-14,Tompkins,New York,36109.0,1,0
2171,2020-03-14,Ulster,New York,36111.0,5,0
2172,2020-03-14,Westchester,New York,36119.0,178,0
2564,2020-03-15,Albany,New York,36001.0,11,0
2565,2020-03-15,Broome,New York,36007.0,1,0
2566,2020-03-15,Delaware,New York,36025.0,1,0
2567,2020-03-15,Dutchess,New York,36027.0,7,0
2568,2020-03-15,Erie,New York,36029.0,3,0
2569,2020-03-15,Greene,New York,36039.0,2,0
2570,2020-03-15,Herkimer,New York,36043.0,1,0
2571,2020-03-15,Monroe,New York,36055.0,2,0
2572,2020-03-15,Montgomery,New York,36057.0,1,0
2573,2020-03-15,Nassau,New York,36059.0,98,0
2574,2020-03-15,New York City,New York,,330,5
2575,2020-03-15,Orange,New York,36071.0,6,0
2576,2020-03-15,Putnam,New York,36079.0,2,0
2577,2020-03-15,Rockland,New York,36087.0,13,1
2578,2020-03-15,Saratoga,New York,36091.0,3,0
2579,2020-03-15,Schenectady,New York,36093.0,2,0
2580,2020-03-15,Suffolk,New York,36103.0,47,0
2581,2020-03-15,Tioga,New York,36107.0,1,0
2582,2020-03-15,Tompkins,New York,36109.0,1,0
2583,2020-03-15,Ulster,New York,36111.0,5,0
2584,2020-03-15,Westchester,New York,36119.0,195,0
3022,2020-03-16,Albany,New York,36001.0,12,0
3023,2020-03-16,Allegany,New York,36003.0,2,0
3024,2020-03-16,Broome,New York,36007.0,1,0
3025,2020-03-16,Delaware,New York,36025.0,1,0
3026,2020-03-16,Dutchess,New York,36027.0,10,0
3027,2020-03-16,Erie,New York,36029.0,6,0
3028,2020-03-16,Greene,New York,36039.0,2,0
3029,2020-03-16,Herkimer,New York,36043.0,1,0
3030,2020-03-16,Monroe,New York,36055.0,10,0
3031,2020-03-16,Montgomery,New York,36057.0,1,0
3032,2020-03-16,Nassau,New York,36059.0,109,0
3033,2020-03-16,New York City,New York,,464,7
3034,2020-03-16,Onondaga,New York,36067.0,1,0
3035,2020-03-16,Ontario,New York,36069.0,1,0
3036,2020-03-16,Orange,New York,36071.0,11,0
3037,2020-03-16,Putnam,New York,36079.0,2,0
3038,2020-03-16,Rockland,New York,36087.0,16,1
3039,2020-03-16,Saratoga,New York,36091.0,5,0
3040,2020-03-16,Schenectady,New York,36093.0,4,0
3041,2020-03-16,Suffolk,New York,36103.0,63,2
3042,2020-03-16,Tioga,New York,36107.0,1,0
