,date,cases_nyc,deaths_nyc,cases_onondaga,deaths_onondaga
0,2020-03-01,1,0,,
1,2020-03-02,1,0,,
2,2020-03-03,2,0,,
3,2020-03-04,2,0,,
4,2020-03-05,4,0,,
5,2020-03-06,5,0,,
6,2020-03-07,12,0,,
7,2020-03-08,14,0,,
8,2020-03-09,20,0,,
9,2020-03-10,37,0,,
10,2020-03-11,52,0,,
11,2020-03-12,96,0,,
12,2020-03-13,155,0,,
13,2020-03-14,269,1,,
14,2020-03-15,330,5,,
15,2020-03-16,464,7,1.0,0.0
16,2020-03-17,645,10,2.0,0.0
17,2020-03-18,1339,20,2.0,0.0
18,2020-03-19,2468,22,2.0,0.0
19,2020-03-20,4408,43,8.0,0.0
20,2020-03-21,6211,60,17.0,0.0
21,2020-03-22,9045,99,29.0,0.0
22,2020-03-23,12305,131,52.0,0.0
23,2020-03-24,14905,192,60.0,0.0
24,2020-03-25,20011,280,65.0,0.0
25,2020-03-26,23112,365,83.0,0.0
26,2020-03-27,25399,450,115.0,0.0
27,2020-03-28,30766,672,129.0,0.0
28,2020-03-29,33768,776,152.0,0.0
29,2020-03-30,38087,914,180.0,0.0
30,2020-03-31,43139,1096,194.0,0.0
31,2020-04-01,47440,1374,249.0,1.0
32,2020-04-02,51810,1562,301.0,2.0
33,2020-04-03,57160,1867,301.0,2.0
34,2020-04-04,63307,2254,349.0,4.0
35,2020-04-05,67552,2472,349.0,4.0
36,2020-04-06,68776,3485,377.0,6.0
37,2020-04-07,76876,4009,377.0,7.0
38,2020-04-08,81803,4571,377.0,9.0
39,2020-04-09,87028,5150,358.0,10.0
40,2020-04-10,92384,5663,369.0,11.0
