,date,cases_onondaga,deaths_onondaga
3034,2020-03-16,1,0
3550,2020-03-17,2,0
4151,2020-03-18,2,0
4880,2020-03-19,2,0
5731,2020-03-20,8,0
6725,2020-03-21,17,0
7820,2020-03-22,29,0
9018,2020-03-23,52,0
10329,2020-03-24,60,0
11770,2020-03-25,65,0
13383,2020-03-26,83,0
15127,2020-03-27,115,0
16967,2020-03-28,129,0
18905,2020-03-29,152,0
20955,2020-03-30,180,0
23096,2020-03-31,194,0
25300,2020-04-01,249,1
27561,2020-04-02,301,2
29883,2020-04-03,301,2
32271,2020-04-04,349,4
34704,2020-04-05,349,4
37177,2020-04-06,377,6
39691,2020-04-07,377,7
42244,2020-04-08,377,9
44820,2020-04-09,358,10
47434,2020-04-10,369,11
