date,apps_total,apps_pending,completed
2012-10,1.0,,1.0
2013-06,,,1.0
2013-10,,,1.0
2014-02,,,1.0
2014-03,,,1.0
2015-04,,,1.0
2015-07,,,1.0
2016-08,,,4.0
2017-06,3.0,,1.0
2017-12,1.0,1.0,2.0
2018-02,,,1.0
2018-10,,,2.0
2018-11,,,1.0
2019-01,1.0,1.0,1.0
2019-05,,,1.0
2019-07,5.0,5.0,2.0
2019-11,6.0,6.0,1.0
2020-02,5.0,5.0,2.0
2012-05,1.0,,
2012-12,1.0,,
2013-04,1.0,,
2013-08,1.0,,
2014-07,1.0,,
2014-08,4.0,,
2014-10,1.0,,
2014-11,3.0,,
2016-03,1.0,,
2016-06,1.0,1.0,
2017-01,2.0,,
2017-04,1.0,1.0,
2017-08,1.0,,
2018-01,1.0,1.0,
2018-04,1.0,,
2018-06,2.0,,
2018-07,1.0,1.0,
2018-09,2.0,1.0,
2019-08,5.0,5.0,
2019-09,4.0,4.0,
2019-10,8.0,8.0,
2019-12,9.0,9.0,
2020-01,12.0,12.0,
