Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed  In-Service,Proposed Initial-Sync,Proposed COD
0276,"EDF Renewables Development, Inc.",Homer Solar Energy Center,1/30/08,90,90,S,Cortland,NY,C,Cortland - Fenner 115kV,NM-NG,9,11/30/19,"FES, SRIS",,11/2023,11/2023,12/2023
0339,RG&E,Transmission Reinforcement,8/17/09,N/A,N/A,AC,Monroe,NY,B,Niagara - Kintigh 345kV,RG&E,12,4/30/19,SIS,N/A,08/2021,N/A,N/A
0349,"Taylor Biomass Energy-Montgomery, LLC",Taylor Biomass,12/30/09,19,22.5,SW,Orange,NY,G,Maybrook - Rock Tavern 69kV,CHGE,12,12/31/17,"SRIS, FS",10/15/13,08/2020,N/A,04/2021
0363,"Anbaric Development Partners, LLC",Poseidon Offshore,4/27/11,500,500,W,NY - Suffolk,NY,K,Ruland Rd. 138kV,LIPA,10,3/31/19,"FES, SRIS, FS",2/2/17,07/2020,11/2020,01/2021
0372,"Dry Lots Wind, LLC",Dry Lots Wind,10/31/11,33,33,W,Herkimer,NY,E,Schuyler - Whitesboro 46kV,NM-NG,7,11/30/18,"FES, SIS",,11/2020,10/2020,12/2020
0386,"Vermont Green Line Devco, LLC",Grand Isle Intertie,6/28/12,400,400,DC,Clinton,NY,D,"Plattsburgh 230kV-New Haven, VT 345kV",NYPA,6,11/30/18,"FES, SIS",,12/2023,N/A,N/A
0387,"Cassadaga Wind, LLC",Cassadaga Wind,7/19/12,126,126,W,Chautauqua,NY,A,Dunkirk - Moon Station 115 kV,NM-NG,11,12/31/19,"FES, SRIS, FS",7/9/19,05/2020,05/2020,12/2020
0393,"NRG Berrians East Development, LLC",Berrians East Replacement,10/16/12,94.2,57,D,Queens,NY,J,Astoria East Substation 138kV,CONED,11,12/31/19,"FES, SRIS, FS",7/9/19,07/2022,10/2022,02/2023
0396,"Baron Winds, LLC",Baron Winds,11/30/12,300,300,W,Steuben,NY,C,Hillside - Meyer 230kV,NYSEG,10,7/31/19,"FES, SRIS, FS",7/9/19,05/2020,05/2020,12/2020
0396A,New York State Electric & Gas,Wood Street Transformer,12/14/12,N/A,N/A,AC,Putnam,NY,G,Wood St. 345/115kV,NYSEG,6,12/31/19,SIS,,12/2021,N/A,N/A
0421,EDP Renewables North America LLC,Arkwright Summit,11/1/13,78.4,78.4,W,Chautauqua,NY,A,Dunkirk - Falconer 115 kV,NM-NG,14,7/31/19,"SRIS, FS",7/9/19,,,I/S
