project_id,system_id,facility_id,facility_name,project_name,cod,year,month,year-month,kw,kwh,hr,technology,developer,installed,value_streams,nyserda_funded
567,620,635,Glenwood - Liberty Plaza,,August 2016,2016,8,2016-8,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,TRUE
568,621,636,Glenwood - Emerald Green,,August 2016,2016,8,2016-8,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,TRUE
569,622,637,Glenwood - Barclay Tower,,June 2013,2013,6,2013-6,225,2000,8.89,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
570,623,638,Glenwood - The Brittany,,August 2016,2016,8,2016-8,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,TRUE
571,624,639,Glenwood - The Barclay,,August 2016,2016,8,2016-8,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,TRUE
572,625,640,Glenwood - Paramount Tower,,July 2015,2015,7,2015-7,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,TRUE
573,409,422,Marcus Garvey Apartments,,June 2017,2017,6,2017-6,300,1200,4.00,Li-ion,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed BQDM; Demand Charge Reduction,FALSE
574,626,641,NYC Health + Hospitals/Jacobi Campus,NYC Health + Hospitals/Jacobi Campus,,2017,11,2017-11,100,400,4.00,Ni-Fe,UniEnergy Technologies,1,Demand Charge Reduction,FALSE
575,627,642,Glenwood - Crystal Green,,December 2017,2017,12,2017-12,125,300,2.40,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
576,628,643,Glenwood - The Bristol,,2016,2016,7,2016-7,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
577,629,644,Glenwood - The Lucerne,,2017,2017,7,2017-7,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
578,630,645,Glenwood - Grand Tier,,2017,2017,7,2017-7,100,400,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
579,631,646,Glenwood - Briar Hill,,2017,2017,7,2017-7,125,200,1.60,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
580,632,647,Glenwood - Hawthorn Park,,December 2017,2017,12,2017-12,125,500,4.00,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
581,633,648,Glenwood - The Fairmont,,December 2017,2017,12,2017-12,125,300,2.40,VRLA,"Enel X (fka Demand Energy, EnerNOC)",1,Con Ed Demand Mgt Program; Demand Charge Reduction,FALSE
